0|1|2|3|5
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Tesorero Municipal (Jefe de Finanzas)
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Vicealcalde Municipal
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Vicepresidente Banco de Guatemala
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Otro personal directivo de la administración pública
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Jefes de pequeñas poblaciones
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Jefe o Presidente de un Grupo de Comunidades
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Cofrade
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Jefe de comunidad
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Autoridad Ancestral
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Cacique
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Jefes de pequeñas poblaciones|Alguacil
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Dirigentes de organizaciones que presentan un interés especial
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Director de organización no gubernamental
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Dirigente de partido político
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Dirigente de sindicato de trabajadores
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Administrador de partido político
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Secretario general de sindicato de trabajadores
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Dirigente de asociación empresarial
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Dirigentes de organizaciones que presentan un interés especial|Administrador de asociación empresarial
Directores y gerentes||Directores generales y gerentes generales|Dirigentes de organizaciones que presentan un interés especial|Directores generales y gerentes generales
Directores y gerentes||Directores generales y gerentes generales|Directores generales y gerentes generales|Directores generales y gerentes generales
Directores y gerentes||Directores generales y gerentes generales|Directores generales y gerentes generales|Director general
Directores y gerentes||Directores generales y gerentes generales|Directores generales y gerentes generales|Gerente general
Directores y gerentes||Directores generales y gerentes generales|Directores generales y gerentes generales|Director gerente de empresa de administración y finanzas
Directores y gerentes||Directores generales y gerentes generales|Directores generales y gerentes generales|Director de agencia de colocación
Directores y gerentes|Directores administradores y comerciales|Directores generales y gerentes generales|Directores generales y gerentes generales|Directores administradores y comerciales
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores generales y gerentes generales|Directores de administración y servicios
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores financieros|Directores financieros
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores financieros|Director de departamento financiero
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores financieros|Director de departamento administrativo
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Directores de recursos humanos
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Gerente de departamento de personal
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director de departamento de personal
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director de departamento de relaciones laborales
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Directores  de  administración  y  servicios  no  clasificados  bajo  otros
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|epígrafes
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|Director  de  departamento  de  producción  en  empresa  de  servicios  a
Directores y gerentes|Directores administradores y comerciales|Directores de administración y servicios|Directores de recursos humanos|
